"Ticker","Nome","Negócios","Última (R$)","Variação"
"LJQQ3","Lojas Quero-Quero","2.095.500","4,36","+3,07%"
"SIMH3","Simpar","2.035.400","6,11","+1,83%"
"DIRR3","Direcional","2.029.600","30,86","+2,39%"
"CEAB3","C&A","2.014.300","10,14","+1,81%"
"POSI3","Positivo","1.965.700","6,63","+4,41%"
"TRPL4","Transmissão Paulista","1.877.300","25,22","+1,86%"
"GUAR3","Guararapes","1.876.800","9,03","+0,67%"
"MYPK3","Iochpe-Maxion","1.874.900","11,64","+1,22%"
"AZZA3","Arezzo","1.799.200","47,92","+1,08%"
"GGPS3","GPS","1.776.900","17,97","+1,24%"
"PSSA3","Porto Seguro","1.687.000","34,84","+0,29%"
"SLCE3","SLC Agrícola","1.684.700","17,60","+0,74%"
"SMFT3","Smart Fit","1.652.600","22,15","+3,50%"
"CPFE3","CPFL Energia","1.550.400","34,37","+2,47%"
"HBSA3","Hidrovias do Brasil","1.519.800","3,49","+2,35%"
"MATD3","Mater Dei","1.407.000","4,90","+2,08%"
"ODPV3","Odontoprev","1.338.500","11,66","+2,55%"
"KEPL3","Kepler Weber","1.324.000","11,53","+2,85%"
"ELET6","Eletrobras","1.304.200","47,08","+1,62%"
"OPCT3","OceanPact","1.258.100","7,20","+2,86%"
"LEVE3","Mahle Metal Leve","1.213.200","30,82","-2,50%"
"SAPR4","Sanepar","1.191.700","5,91","+0,17%"
"ARML3","Armac","1.144.600","8,70","+4,82%"
"AZEV3","Azevedo & Travassos","1.132.100","1,37","-4,20%"
"CSMG3","COPASA","1.105.200","24,40","+1,50%"
"MTRE3","Mitre Realty","1.094.400","3,78","+1,34%"
"RCSL3","Recrusul","1.091.400","5,69","+13,80%"
"EZTC3","EZTEC","999.200","14,08","+2,55%"
"EGIE3","Engie","996.400","45,19","+1,19%"
"BRSR6","Banrisul","944.600","12,85","+0,86%"
"EVEN3","Even","933.900","6,60","+2,96%"
"SYNE3","SYN","931.800","8,20","+2,50%"
"RANI3","Irani","876.600","7,91","-0,13%"
"KLBN4","Klabin","834.600","4,40","+2,09%"
"MBLY3","Mobly","820.400","2,90","+0,69%"
"SMTO3","São Martinho","790.900","26,86","-0,07%"
"PLPL3","Plano&Plano","775.800","12,33","+2,41%"
"RCSL4","Recrusul","773.900","1,04","+2,97%"
"INTB3","Intelbras","763.000","22,00","+0,92%"
"GRND3","Grendene","736.200","6,12","+1,49%"
"CMIG3","CEMIG","710.300","14,87","+1,99%"
"TTEN3","3tentos","687.300","11,81","-1,50%"
"TUPY3","Tupy","680.700","28,02","+0,39%"
"MEAL3","IMC Alimentação","678.700","1,52","-0,65%"
"PGMN3","Pague Menos","673.000","3,09","+1,64%"
"ITUB3","Itaú Unibanco","665.800","32,44","+0,78%"
"WIZC3","Wiz Soluções","655.100","6,16","+3,36%"
"NEOE3","Neoenergia","651.400","20,50","+2,35%"
"MILS3","Mills","651.100","11,18","+1,73%"
"JFEN3","João Fortes","650.800","0,20","+0,00%"
"ENJU3","Enjoei","637.800","1,57","+1,95%"
"CAML3","Camil Alimentos","616.900","9,70","+2,00%"
"PDGR3","PDG Realty","613.300","0,15","-6,25%"
"ABCB4","Banco ABC Brasil","598.700","23,44","+0,17%"
"DASA3","Dasa","563.600","3,14","+0,96%"
"HBOR3","Helbor","546.000","2,08","+1,46%"
"SOJA3","Boa Safra Sementes","527.300","13,00","+1,17%"
"MDNE3","Moura Dubeux","524.200","15,18","+3,55%"
"MDIA3","M. Dias Branco","522.200","27,54","+2,11%"
"TRIS3","Trisul","520.300","4,74","+3,95%"
"FESA4","Ferbasa","516.400","8,01","+2,17%"
"VLID3","Valid","493.800","23,24","+2,88%"
"CSED3","Cruzeiro do Sul Educacional","490.900","3,72","+4,79%"
"ZAMP3","Zamp","487.000","3,12","+3,31%"
"BMGB4","Banco BMG","471.800","3,87","+1,84%"
"VITT3","Vittia","465.600","6,19","-1,43%"
"FRAS3","Fras-le","458.400","20,20","+2,80%"
"POMO3","Marcopolo","456.700","6,10","+0,99%"
"LPSB3","Lopes","451.200","1,62","+4,52%"
"PORT3","Wilson Sons","441.500","16,99","-0,35%"
"FIQE3","Unifique","432.300","3,80","+0,53%"
"ALPK3","Estapar","422.800","3,52","+0,57%"
"BRIT3","Brisanet","396.600","3,45","-0,86%"
"SHOW3","Time For Fun","386.200","1,00","-0,99%"
"TRAD3","Traders Club","382.100","2,66","+9,47%"
"PFRM3","Profarma","374.300","6,22","-2,20%"
